id,village,village_slug,title,url,status,min_price,occupancy_30,occupancy_30_unavailable,occupancy_30_total,pool,jacuzzi,own,features,properties,geo_lat,geo_lng,discounts
3232816,سیدکلا,seydkola,خانه روستایی,https://www.jajiga.com/room/3232816,fetch_failed,1500000,13,4,30,0,0,False,,,,,[]
3198234,سیدکلا,seydkola,اجاره کلبه سوئدی نزدیک لفور - سیدکلا - ۲,https://www.jajiga.com/room/3198234,active,1680000,0,0,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|water,جذاب|اقامتگاه خاص,36.3094,52.7921,"[{""percent"": 20, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 40, ""type"": ""duration"", ""min_nights"": 15}]"
3206573,سیدکلا,seydkola,کلبه چوبی دوبلکس نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3206573,active,2000000,7,2,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|toilet|tv|vacuumcleaner|water,خوش منظره|جذاب|مهمان نواز,36.3107,52.7954,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3181918,سیدکلا,seydkola,کلبه سوئیسی جکوزی دار نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3181918,active,2000000,47,14,30,0,1,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|furniture|heating|islamictoilet|jacuzzi|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,خوش منظره|جذاب,36.3138,52.7896,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3237859,سیدکلا,seydkola,کلبه سوئیسی در بابلکنار - سیدکلا,https://www.jajiga.com/room/3237859,active,2000000,10,3,30,0,0,False,bathroom|cooler|drawer|electricity|essentials|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,لب آب|جذاب,36.3154,52.7969,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3149749,سیدکلا,seydkola,سوئیت در سیدکلا بابلکنار - همکف,https://www.jajiga.com/room/3149749,active,2000000,33,10,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|food|heating|islamictoilet|janitor|kitchen|parking|refrigerator|table|toilet|tv|water,خوش غذا|جذاب|خوش منظره,36.3134,52.7827,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 20}]"
3262853,سیدکلا,seydkola,خانه مبله - طبقه دوم,https://www.jajiga.com/room/3262853,fetch_failed,2000000,0,0,30,0,0,False,,,,,[]
3195933,سیدکلا,seydkola,کلبه سوئیسی نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3195933,active,2200000,0,0,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|water,جذاب|خوش منظره,36.3095,52.7921,"[{""percent"": 20, ""type"": ""duration"", ""min_nights"": 6}, {""percent"": 30, ""type"": ""duration"", ""min_nights"": 30}]"
3179404,سیدکلا,seydkola,اجاره کلبه چوبی نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3179404,active,2200000,0,0,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|water,,36.3094,52.7921,"[{""percent"": 20, ""type"": ""duration"", ""min_nights"": 4}, {""percent"": 30, ""type"": ""duration"", ""min_nights"": 7}]"
3195220,سیدکلا,seydkola,اجاره کلبه سنتی نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3195220,active,2200000,0,0,30,0,0,False,barbecue|bathroom|electricity|essentials|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|water,جذاب,36.3094,52.7921,"[{""percent"": 15, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 40, ""type"": ""duration"", ""min_nights"": 15}, {""percent"": 20, ""type"": ""today_discount""}, {""percent"": 20, ""type"": ""tomorrow_discount""}]"
3198301,سیدکلا,seydkola,اجاره کلبه سوئدی نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3198301,active,2200000,0,0,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|water,جذاب|اقامتگاه خاص,36.3096,52.7921,"[{""percent"": 15, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 30, ""type"": ""duration"", ""min_nights"": 15}]"
3297585,سیدکلا,seydkola,کلبه سوئیسی در بابلکنار - سیدکلا,https://www.jajiga.com/room/3297585,active,2400000,7,2,30,0,0,True,barbecue|bathroom|cooler|drawer|electricity|essentials|furniture|heating|islamictoilet|kitchen|parking|refrigerator|stave|toilet|tv|vacuumcleaner|water,خوش منظره|مهمان نواز,36.3066,52.7858,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 6}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 15}]"
3201318,سیدکلا,seydkola,کلبه حیاط دار در بابلکنار - سیدکلا,https://www.jajiga.com/room/3201318,active,2450000,0,0,30,0,0,False,barbecue|bathroom|cooler|drawer|electricity|essentials|food|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|tv|water,خوش منظره|خوش غذا,36.3173,52.7808,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 7}, {""percent"": 40, ""type"": ""today_discount""}, {""percent"": 20, ""type"": ""tomorrow_discount""}]"
3190700,سیدکلا,seydkola,اجاره کلبه چوبی در بابلکنار - سیدکلا,https://www.jajiga.com/room/3190700,active,2490000,0,0,30,0,0,False,barbecue|bathroom|cooler|drawer|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,خوش منظره|جذاب|مهمان نواز,36.3149,52.7899,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 15}, {""percent"": 10, ""type"": ""today_discount""}]"
3179336,سیدکلا,seydkola,کلبه سوئیسی با وان جکوزی در بابلکنار- سیدکلا,https://www.jajiga.com/room/3179336,active,2500000,63,19,30,0,1,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|foosball|furniture|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|toilet|tv|vacuumcleaner|water,جذاب|مهمان نواز,36.3152,52.7904,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 30, ""type"": ""duration"", ""min_nights"": 10}]"
